build_id,class,weapon,archetype,primary_family,metric,median,upper_quartile_proxy,maximum,upper_quartile_minus_median,maximum_minus_upper_quartile,upper_quartile_vs_median_pct,maximum_vs_upper_quartile_pct
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,total_mr,15,16,18,1,2,6.6667,12.5
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,ms,39,51,63,12,12,30.7692,23.5294
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,main_attack_dps,6659.9999,7646.1497,8636.553,986.1498,990.4033,14.8071,12.953
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,spell_display_avg_max,23106.0936,26253.6256,29344.5537,3147.532,3090.9281,13.6221,11.7733
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,ehp,20692.7247,21543.6764,22394.628,850.9517,850.9516,4.1123,3.9499
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,ehp_no_agi,19758.7393,20571.2824,21383.8255,812.5431,812.5431,4.1123,3.9499
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,hpr,166.41,231.53,305.14,65.12,73.61,39.1323,31.7929
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,ls,-550,-467,-385,83,82,-15.0909,-17.5589
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,total_mr,22,25,27,3,2,13.6364,8
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,ms,-20,-16,-14,4,2,-20,-12.5
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,main_attack_dps,4252.9143,4375.3146,4518.1149,122.4003,142.8003,2.878,3.2638
ubg-siege-vent-siege-vent-boltslinger-standard-1,archer,Siege Vent,Boltslinger,family_unclassified,spell_display_avg_max,84671.8974,95769.9397,106813.6177,11098.0423,11043.678,13.1071,11.5315
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,ehp,12315.3846,12315.3846,12315.3846,0,0,0,0
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,ehp_no_agi,12315.3846,12315.3846,12315.3846,0,0,0,0
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,hpr,-269,-228,-188,41,40,-15.2416,-17.5439
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,ls,-282,-69,143,213,212,-75.5319,-307.2464
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,total_mr,59,72,84,13,12,22.0339,16.6667
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,ms,0,0,0,0,0,,
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,main_attack_dps,1667.6849,1862.4807,2064.4827,194.7958,202.002,11.6806,10.8459
ubg-spring-spring-sharpshooter-non-crafted-1,archer,Spring,Sharpshooter,family_unclassified,spell_display_avg_max,36028.4354,41793.5666,47539.3136,5765.1312,5745.747,16.0016,13.7479
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,ehp,31862.9857,33545.2317,35227.4777,1682.246,1682.246,5.2796,5.0149
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,ehp_no_agi,9834.6154,10353.8462,10873.0769,519.2308,519.2307,5.2796,5.0149
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,hpr,0,0,0,0,0,,
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,ls,326,428,530,102,102,31.2883,23.8318
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,total_mr,16,18,19,2,1,12.5,5.5556
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,ms,20,26,32,6,6,30,23.0769
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,main_attack_dps,10232.443,13056.3798,15860.1914,2823.9368,2803.8116,27.5979,21.4746
ubg-stratiformis-stratiformis-bolt-hybrid-standard-1,archer,Stratiformis,,family_hybrid,spell_display_avg_max,105454.802,116382.1505,127309.499,10927.3485,10927.3485,10.3621,9.3892
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,ehp,25162.8218,25162.8218,25162.8218,0,0,0,0
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,ehp_no_agi,22380.2256,22380.2256,22380.2256,0,0,0,0
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,hpr,40,52,64,12,12,30,23.0769
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,ls,0,0,0,0,0,,
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,total_mr,47,53,59,6,6,12.766,11.3208
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,ms,0,0,0,0,0,,
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,main_attack_dps,1289.9081,1387.8585,1492.1084,97.9504,104.2499,7.5936,7.5116
ubg-abyssopelagic-abyssopelagic-trickster-standard-1,assassin,Abyssopelagic,Trickster,family_unclassified,spell_display_avg_max,11967.5721,13083.3829,14322.6695,1115.8108,1239.2866,9.3236,9.4722
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,ehp,35657.0338,36951.9185,38246.8031,1294.8847,1294.8846,3.6315,3.5042
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,ehp_no_agi,14255.0721,14772.7449,15290.4176,517.6728,517.6727,3.6315,3.5042
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,hpr,466.48,638.6,828.1,172.12,189.5,36.8976,29.6743
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,ls,0,0,0,0,0,,
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,total_mr,42,50,58,8,8,19.0476,16
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,ms,12,16,20,4,4,33.3333,25
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,main_attack_dps,1103.6522,1373.229,1639.7364,269.5768,266.5074,24.4259,19.4074
ubg-archangel-archangel-acrobat-standard-1,assassin,Archangel,Acrobat,family_unclassified,spell_display_avg_max,25505.2595,29134.1525,32888.9554,3628.893,3754.8029,14.228,12.888
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,ehp,13495,13495,13495,0,0,0,0
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,ehp_no_agi,13495,13495,13495,0,0,0,0
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,hpr,-534.52,-423.15,-328.5,111.37,94.65,-20.8355,-22.368
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,ls,693,909,1125,216,216,31.1688,23.7624
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,total_mr,25,25,25,0,0,0,0
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,ms,19,25,31,6,6,31.5789,24
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,main_attack_dps,5505.505,6509.0433,7550.327,1003.5383,1041.2837,18.2279,15.9975
ubg-grimtrap-grimtrap-shadestepper-non-crafted-1,assassin,Grimtrap,Shadestepper,family_unclassified,spell_display_avg_max,20421.6904,23158.652,25995.1535,2736.9616,2836.5015,13.4022,12.2481
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,ehp,37203.6357,37203.6357,37203.6357,0,0,0,0
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,ehp_no_agi,19383.6731,19383.6731,19383.6731,0,0,0,0
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,hpr,130.2,181.5,237,51.3,55.5,39.4009,30.5785
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,ls,0,0,0,0,0,,
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,total_mr,44,56,65,12,9,27.2727,16.0714
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,ms,-12,-10,-8,2,2,-16.6667,-20
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,main_attack_dps,908.45,1043.0259,1177.6017,134.5759,134.5758,14.8138,12.9024
ubg-hanafubuki-hanafubuki-acrobat-non-crafted-1,assassin,Hanafubuki,Acrobat,family_unclassified,spell_display_avg_max,43868.3979,52287.0208,60705.6438,8418.6229,8418.623,19.1906,16.1008
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,ehp,59542.7384,61714.9729,63884.5355,2172.2345,2169.5626,3.6482,3.5155
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,ehp_no_agi,59542.7384,61714.9729,63884.5355,2172.2345,2169.5626,3.6482,3.5155
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,hpr,108.23,245.7,406.02,137.47,160.32,127.0165,65.2503
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,ls,0,0,0,0,0,,
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,total_mr,53,62,70,9,8,16.9811,12.9032
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,ms,0,0,0,0,0,,
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,main_attack_dps,6031.1967,6915.2561,7761.3172,884.0594,846.0611,14.6581,12.2347
ubg-inferno-inferno-trickster-non-crafted-1,assassin,Inferno,Trickster,family_unclassified,spell_display_avg_max,17020.1435,18652.3367,20371.6268,1632.1932,1719.2901,9.5898,9.2176
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,ehp,9894.8535,10221.5961,10548.3386,326.7426,326.7425,3.3021,3.1966
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,ehp_no_agi,9484.963,9798.1704,10111.3777,313.2074,313.2073,3.3021,3.1966
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,hpr,-349.7,-285,-227.48,64.7,57.52,-18.5016,-20.1825
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,ls,0,0,0,0,0,,
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,total_mr,35,48,60,13,12,37.1429,25
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,ms,3,8,13,5,5,166.6667,62.5
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,main_attack_dps,1954.1403,2750.6063,3576.133,796.466,825.5267,40.7579,30.0125
ubg-nirvana-nirvana-acrobat-non-crafted-1,assassin,Nirvana,Acrobat,family_unclassified,spell_display_avg_max,57030.524,67311.1888,77776.5792,10280.6648,10465.3904,18.0266,15.5478
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,ehp,40119.363,40119.363,40119.363,0,0,0,0
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,ehp_no_agi,29020.8744,29020.8744,29020.8744,0,0,0,0
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,hpr,122,262,403,140,141,114.7541,53.8168
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,ls,568,746,923,178,177,31.338,23.7265
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,total_mr,57,65,71,8,6,14.0351,9.2308
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,ms,7,12,17,5,5,71.4286,41.6667
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,main_attack_dps,2287.9974,2411.6401,2524.8718,123.6427,113.2317,5.404,4.6952
ubg-nullification-nullification-acrobat-standard-1,assassin,Nullification,Acrobat,family_unclassified,spell_display_avg_max,48851.2882,52083.2862,55315.2842,3231.998,3231.998,6.616,6.2054
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,ehp,23061.3159,23061.3159,23061.3159,0,0,0,0
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,ehp_no_agi,17135.1921,17135.1921,17135.1921,0,0,0,0
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,hpr,0,0,0,0,0,,
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,ls,400,525,650,125,125,31.25,23.8095
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,total_mr,31,33,35,2,2,6.4516,6.0606
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,ms,19,25,31,6,6,31.5789,24
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,main_attack_dps,2943.7609,3455.044,3969.0519,511.2831,514.0079,17.3684,14.877
ubg-nullification-nullification-shadestepper-standard-1,assassin,Nullification,Shadestepper,family_unclassified,spell_display_avg_max,15710.0902,17105.7506,18597.296,1395.6604,1491.5454,8.8838,8.7196
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,ehp,13105,13105,13105,0,0,0,0
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,ehp_no_agi,13105,13105,13105,0,0,0,0
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,hpr,0,0,0,0,0,,
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,ls,0,0,0,0,0,,
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,total_mr,-13,0,10,13,10,-100,
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,ms,46,57,69,11,12,23.913,21.0526
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,main_attack_dps,9566.7717,10407.8551,11298.7571,841.0834,890.902,8.7917,8.5599
ubg-oblivion-oblivion-spell-shadestepper-non-crafted-1,assassin,Oblivion,Shadestepper,family_spellsteal,spell_display_avg_max,20039.6696,22483.144,24969.7255,2443.4744,2486.5815,12.1932,11.0598
ubg-vengeance-vengeance-heavy-melee-shadestepper-non-crafted-2,assassin,Vengeance,Shadestepper,family_heavy_melee,ehp,22254.7149,22254.7149,22254.7149,0,0,0,0
ubg-vengeance-vengeance-heavy-melee-shadestepper-non-crafted-2,assassin,Vengeance,Shadestepper,family_heavy_melee,ehp_no_agi,22254.7149,22254.7149,22254.7149,0,0,0,0
ubg-vengeance-vengeance-heavy-melee-shadestepper-non-crafted-2,assassin,Vengeance,Shadestepper,family_heavy_melee,hpr,0,0,0,0,0,,
ubg-vengeance-vengeance-heavy-melee-shadestepper-non-crafted-2,assassin,Vengeance,Shadestepper,family_heavy_melee,ls,300,330,360,30,30,10,9.0909
ubg-vengeance-vengeance-heavy-melee-shadestepper-non-crafted-2,assassin,Vengeance,Shadestepper,family_heavy_melee,total_mr,31,33,35,2,2,6.4516,6.0606
ubg-vengeance-vengeance-heavy-melee-shadestepper-non-crafted-2,assassin,Vengeance,Shadestepper,family_heavy_melee,ms,14,18,22,4,4,28.5714,22.2222
